X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
121.398492893059	13.064700085897	B00021MR	Casiligan Br. 1	Leuteboro Ⅱ	Socorro
121.462921812999	12.7495465835248	B00055MR	Miaje Br.	Miaje	Bongabong
121.466422752655	12.9202168841983	B00038MR	Langgang Br.	Lucio Laurel	Gloria
121.027955914475	13.4190014067745	B00183MR	Calabugao Br. 2	Lumangbayan	San Teodoro
121.490114100471	12.5660862576486	B00063MR	Baroc Br.	Santa Brigida	Mansalay
121.088687924016	13.3643877218639	B00180MR	Matining Br.	Alag	Baco
121.339898423667	12.3516564666037	B00073MR	Coringot Br.	Nasukob	Bulalacao
121.076362031863	13.3693549390757	B00182MR	Alag Maliit Br.	Alag	Baco
121.276021386172	13.1843758097829	B00012MR	Babangongan Br.	Babangonan	Victoria
121.47576703865	12.7924438805136	B00052MR	Dalapian Br.	Sumague	Bansud
121.408951626662	12.4309655176249	B00070MR	Burabod Br.	Burabod	Mansalay
121.103924984249	13.3572806682666	B00177MR	Baguin Br. 1	Poblacion	Baco
121.260211865217	13.2738759355051	B00007MR	Mag-Asawang Tubig Br.	Pinagsabangan Ⅱ	Naujan
121.337232802332	12.3463395500351	B00074MR	Cawacat Br.	Cawacat	Bulalacao
121.120298689442	13.3562426962912	B00225MR	Longos Br.	Santa Rita	Calapan
121.110768565566	13.3568430534514	B00176MR	Casilihan Br. 2	Poblacion	Baco
121.352044281142	12.3837775764637	B00072MR	Cavillan Br.	Cavillan	Bulalacao
121.451854730017	12.8894272263065	B00235MR	Banus Br.	Banus	Gloria
121.2997911723	13.1158889854761	B00017MR	Bambanin Br.	Bambanin	Victoria
121.444796568654	12.6355594041993	B00062MR	Madugo Br.	San Mariano	Roxas
120.989044527942	13.4571263462732	B00188MR	Jasmine Br.	Jasmine	Puerto Galera
121.374612045012	12.3922328688678	B00071MR	Tambangan Br.	Tambangan	Bulalacao
121.001204657746	13.4444117632923	B00186MR	Bisayaan Br.	Villaflor	Puerto Galera
121.521027647239	12.5905259129818	B00210MR	Madugo Br. 2	Bagumbayan	Roxas
121.112005768271	13.3567673889874	B00226MR	Casilihan Br. 1	Poblacion	Baco
121.431617928071	12.5239827882707	B00065MR	Mansalay Br.	Arado	Mansalay
121.305045974863	12.3116532131145	B00170MR	Mauhao Br.	Maujao	Bulalacao
121.399715410068	13.0640475755265	B00022MR	Casiligan Br. 2	Leuteboro Ⅱ	Socorro
121.452778402232	12.870373003687	B00045MR	Pag-asa Br.	Pag-asa	Bansud
121.207893441122	13.1882555753521	B00025MR	Mainao Br.	San Antonio	Victoria
121.376095813041	12.6826971331511	B00059MR	Batangan Br.	Batangan	Bulalacao
121.459379897761	12.8489477654048	B00048MR	Concepcion Br.	Alcadesma	Bansud
121.44785896948	12.8812682899941	B00230MR	Agsalin Br.	Banus	Gloria
120.896717405964	13.4990015076403	B00190MR	Aninuan Br.	Aninuan	Puerto Galera
121.457708664647	12.8558005278446	B00046MR	Bansud Br.	Poblacion	Bansud
121.464719744507	12.9161950255501	B00039MR	Buayahan Br.	Langgang	Gloria
121.023814927106	13.4234833391396	B00184MR	San Rafael Br.	San Rafael	San Teodoro
121.280451830892	13.1648913892506	B00014MR	San Isidro Br.	San Isidro	Victoria
121.479656761936	13.0222747141278	B00206MR	Matuod-tuod Br.	Mar Francisco	Pinamalayan
121.102100747762	13.3573895027439	B00178MR	Baguin Br. 2	Poblacion	Baco
121.468598970338	12.7750147667804	B00053MR	Labasan Br.	Labasan	Bongabong
121.482302998415	12.6753804072196	B00217MR	Orconuma Br.	Orconuma	Bongabong
121.089566291725	13.3636101664263	B00179MR	Calabugao Br. 1	Alag	Baco
121.268118926135	13.2536258248037	B00008MR	Pinagsabangan Br.	Pinagsabangan	Naujan
121.46802931295	12.7591052441554	B00054MR	Malitbog Br.	Malitbog	Bongabong
121.382385537381	12.6795256772623	B00060MR	Matalon Br.	Morente	Bongabong
121.479354244416	13.0134321487675	B00207MR	Papandayan Br. 1	Papandayan	Pinamalayan
121.42441430779	13.114144191399	B00028MR	Casiligan Br.	Casiligan	Pola
121.271655963093	13.2145776847793	B00223MR	Balud Br.	Malaya	Naujan
121.17850557941	13.3207629098773	B00221MR	Zaragosa Br.	Biga	Calapan
121.472107054217	12.8028197929527	B00231MR	Sumague Br.	Sumague	Bongabong
121.447499068646	12.8819419850254	B00043MR	Linao Br.	Banus	Gloria
121.021867562878	13.4260622716707	B00185MR	Nagpatay Br.	San Rafael	San Teodoro
121.424202226575	13.0499881572989	B00023MR	Pula Br.	Pula	Socorro
121.294807687755	12.3460135822151	B00218MR	Bagong Sikat Br.	Bagong Sikat	Bulalacao
120.991193152687	13.4501478118179	B00187MR	Water Falls Br.	Waterfalls	Puerto Galera
121.365103154404	12.6957505546901	B00234MR	Lisap Br.	Lisap	Bongabong
121.472233615184	12.9376746454107	B00208MR	Small Balite Br.	Balite	Gloria
121.463151682238	12.8247456878872	B00050MR	Tiguisan Munti Br.	Tiguisan	Bansud
121.360973879763	13.0804238837991	B00224MR	Antipolo Br.	Subaan	Socorro
121.420366638117	12.4831827419068	B00066MR	Cagancan Br.	Cagancan	Mansalay
121.478313245711	12.9854897685571	B00035MR	Quinabigan Br.	Del Razon	Pinamalayan
121.30199363601	13.1109932912816	B00018MR	Malbog Br.	Merit	Victoria
121.198212366907	13.3013065002422	B00005MR	Panggalaan Br.	Paggalaan	Calapan
121.080346480118	13.3680116140722	B00181MR	Alag Malaki Br.	Alag	Baco
121.409885807147	12.4525859889815	B00067MR	Wawan Br.	Wawan	Mansalay
121.486775667514	12.7414875694817	B00232MR	Ipil Br.	Ipil	Bongabong
121.200901228261	13.1890508921951	B00026MR	Macatoc Br.	Alcate	Victoria
121.213289653143	13.2874325100036	B00222MR	Sampaguita Br.	Sampaguita	Naujan
121.179918181898	13.4132284848108	B00220MR	San Vicente Br.	San Vicente	Calapan
121.406060835552	12.4104087332533	B00233MR	Budburan Br.	Budburan	Mansalay
121.460030920415	12.8344492575405	B00049MR	Tiguisan Br.	Alcadesma	Bansud
121.187070305523	13.1729166642908	B00027MR	Alcate Br.	Alcate	Victoria
121.406135453484	12.4444625354467	B00069MR	Manaul Br. 2	Manaul	Mansalay
121.474803225282	12.9453327011881	B00036MR	Balite Br.	Balite	Gloria
121.257256490357	13.1945230363824	B00227MR	Babangonan Br.	Babangonan	Victoria
121.463326555249	12.9128811839918	B00040MR	Tinalunan Br.	Gaudencio Antonino	Gloria
121.285670709511	13.1351799354801	B00015MR	Gusay Br.	Canaan	Victoria
121.376072106981	12.7012119006294	B00056MR	Hagan Br.	Hagan	Bongabong
121.392487008352	12.6728101920379	B00061MR	Nawa Br.	Morente	Bongabong
121.52145010097	12.590955348424	B00209MR	Madugo Br. 1	Bagumbayan	Roxas
121.361265386186	13.0772540944439	B00020MR	Subaan Br.	Subaan	Socorro
121.276719147127	13.179510944886	B00013MR	Borbocolon Br.	Poblacion Ⅳ	Victoria
121.487388373083	12.5546414423236	B00064MR	Wasig Br.	Wasig	Mansalay
121.144020959581	13.3554815541866	B00173MR	Canubing Br.	Canubing	Canubing
121.485517563183	12.7308157946068	B00202MR	Sagana Br.	Sagana	Bongabong
121.434555186291	13.1276772128022	B00228MR	Balaasan Br.	Panikian	Pola
121.273164963452	13.2041226239344	B00011MR	Macatoc Br.	Macatoc	Victoria
121.188762351294	13.3094118067671	B00004MR	Bucayao Br.	Bucayao	Calapan
121.459139006382	12.8515439708452	B00216MR	Pinag-agawan Br.	Poblacion	Bansud
121.436070163713	13.1375236137062	B00229MR	Pantay Br.	Panikian	Pola
121.430314380805	13.0484865589821	B00031MR	Macanlig Br.	Nabuslot	Pinamalayan
120.969381962803	13.471885056291	B00189MR	Dulangan Br.	Dulangan	Puerto Galera
